Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
grämen,gräme,grämst,grämt,grämte,gegrämt,grämte,gräme,grämt,hat
abprotzen,protze ab,protzt ab,protzt ab,protzte ab,abgeprotzt,protzte ab,protz ab,protzt ab,hat
stiefeln,stiefle,stiefelst,stiefelt,stiefelte,gestiefelt,stiefelte,stiefle,stiefelt,ist
flashen,flashe,flashst,flasht,flashte,geflasht,flashte,flash,flasht,hat
flehmen,flehme,flehmst,flehmt,flehmte,geflehmt,flehmte,flehm,flehmt,hat
kalmieren,kalmiere,kalmierst,kalmiert,kalmierte,kalmiert,kalmierte,kalmiere,kalmiert,hat
verkopfen,verkopfe,verkopfst,verkopft,verkopfte,verkopft,verkopfte,verkopf,verkopft,hat
abtauchen,tauche ab,tauchst ab,taucht ab,tauchte ab,abgetaucht,tauchte  ab,tauch ab,taucht ab,ist
bowlen,bowle,bowlst,bowlt,bowlte,gebowlt,bowlte,bowl,bowlt,hat
daheimbleiben,bleibe daheim,bleibst daheim,bleibt daheim,blieb daheim,daheimgeblieben,bliebe daheim,bleib daheim,bleibt daheim,ist
demonstrieren,demonstriere,demonstrierst,demonstriert,demonstrierte,demonstriert,demonstrierte,demonstrier,demonstriert,hat
doppelklicken,doppelklicke,doppelklickst,doppelklickt,doppelklickte,doppelgeklickt,doppelklickte,doppelklicke,doppelklickt,hat
durchregieren,regiere durch,regierst durch,regiert durch,regierte durch,durchregiert,regierte durch,regier durch,regiert durch,hat
verstümmeln,verstümmele,verstümmelst,verstümmelt,verstümmelte,verstümmelt,verstümmelte,verstümmele,verstümmelt,hat
andicken,dicke an,dickst an,dickt an,dickte an,angedickt,dickte an,dicke an,dickt an,hat
habitualisieren,habitualisiere,habitualisierst,habitualisiert,habitualisierte,habitualisiert,habitualisierte,habitualisier,habitualisiert,hat
substanziieren,substanziiere,substanziierst,substanziiert,substanziierte,substanziiert,substanziierte,substanziier,substanziiert,hat
parzellieren,parzelliere,parzellierst,parzelliert,parzellierte,parzelliert,parzellierte,parzelliere,parzelliert,hat
