Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
lieben,liebe,liebst,liebt,liebte,geliebt,liebte,liebe,liebt,hat
klieben,kliebe,kliebst,kliebt,klob,gekloben,klöbe,kliebe,kliebt,hat
belfern,belfere,belferst,belfert,belferte,gebelfert,belferte,belfere,belfert,hat
chatten,chatte,chattest,chattet,chattete,gechattet,chattete,chatte,chattet,hat
wissen,weiß,weißt,weiß,wusste,gewusst,wüsste,wisse,wisset,hat
schnabulieren,schnabuliere,schnabulierst,schnabuliert,schnabulierte,schnabuliert,schnabulierte,schnabulier,schnabuliert,hat
brechen,breche,brichst,bricht,brach,gebrochen,bräche,brich,brecht,hat
abbrechen,breche ab,brichst ab,bricht ab,brach ab,abgebrochen,bräche ab,brich ab,brecht ab,hat
anbrechen,breche an,brichst an,bricht an,brach an,angebrochen,bräche an,brich an,brecht an,hat
aufbrechen,breche auf,brichst auf,bricht auf,brach auf,aufgebrochen,bräche auf,brich auf,brecht auf,ist
ausbrechen,breche aus,brichst aus,bricht aus,brach aus,ausgebrochen,bräche aus,brich aus,brecht aus,hat
einbrechen,breche ein,brichst ein,bricht ein,brach ein,eingebrochen,bräche ein,brich ein,brecht ein,ist
verbrechen,verbreche,verbrichst,verbricht,verbrach,verbrochen,verbräche,verbrich,verbrecht,hat
zerbrechen,zerbreche,zerbrichst,zerbricht,zerbrach,zerbrochen,zerbräche,zerbrich,zerbrecht,hat
büffeln,büffele,büffelst,büffelt,büffelte,gebüffelt,büffelte,büffele,büffelt,hat
oktroyieren,oktroyiere,oktroyierst,oktroyiert,oktroyierte,oktroyiert,oktroyierte,oktroyier,oktroyiert,hat
winken,winke,winkst,winkt,winkte,gewinkt,winkte,winke,winkt,hat
machen,mache,machst,macht,machte,gemacht,machte,mache,macht,hat
schmeißen,schmeiße,schmeißt,schmeißt,schmiss,geschmissen,schmisse,schmeiß,schmeißt,hat
besinnen,besinne,besinnst,besinnt,besann,besonnen,besänne,besinn,besinnt,hat
untersuchen,untersuche,untersuchst,untersucht,untersuchte,untersucht,untersuchte,untersuche,untersucht,hat
kaufen,kaufe,kaufst,kauft,kaufte,gekauft,kaufte,kauf,kauft,hat
wohnen,wohne,wohnst,wohnt,wohnte,gewohnt,wohnte,wohne,wohnt,hat
sehen,sehe,siehst,sieht,sah,gesehen,sähe,siehe,seht,hat
aalen,aale,aalst,aalt,aalte,geaalt,aalte,aal,aalt,hat
essen,esse,isst,isst,aß,gegessen,äße,iss,esst,hat
trinken,trinke,trinkst,trinkt,trank,getrunken,tränke,trink,trinkt,hat
gehen,gehe,gehst,geht,ging,gegangen,ginge,geh,geht,ist
wandeln,wandle,wandelst,wandelt,wandelte,gewandelt,wandelte,wandle,wandelt,ist
lecken,lecke,leckst,leckt,leckte,geleckt,leckte,lecke,leckt,hat
ficken,ficke,fickst,fickt,fickte,gefickt,fickte,ficke,fickt,hat
intendieren,intendiere,intendierst,intendiert,intendierte,intendiert,intendierte,intendiere,intendiert,hat
kochen,koche,kochst,kocht,kochte,gekocht,kochte,koch,kocht,hat
kiffen,kiffe,kiffst,kifft,kiffte,gekifft,kiffte,kiffe,kifft,hat
sprechen,spreche,sprichst,spricht,sprach,gesprochen,spräche,sprich,sprecht,hat
delegieren,delegiere,delegierst,delegiert,delegierte,delegiert,delegierte,delegiere,delegiert,hat
akzeptieren,akzeptiere,akzeptierst,akzeptiert,akzeptierte,akzeptiert,akzeptierte,akzeptier,akzeptiert,hat
stipulieren,stipuliere,stipulierst,stipuliert,stipulierte,stipuliert,stipulierte,stipuliere,stipuliert,hat
liegen,liege,liegst,liegt,lag,gelegen,läge,lieg,liegt,hat
ausscheiden,scheide aus,scheidest aus,scheidet aus,schied aus,ausgeschieden,schiede aus,scheide aus,scheidet aus,hat
zocken,zocke,zockst,zockt,zockte,gezockt,zockte,zocke,zockt,hat
googeln,googel,googelst,googelt,googelte,gegoogelt,googelte,googele,googelt,hat
abbaumen,baume ab,baumst ab,baumt ab,baumte ab,abgebaumt,baumte ab,baum ab,baumt ab,hat
abschmieren,schmiere ab,schmierst ab,schmiert ab,schmierte ab,abgeschmiert,schmierte ab,schmier ab,schmiert ab,ist
ignorieren,ignoriere,ignorierst,ignoriert,ignorierte,ignoriert,ignorierte,ignoriere,ignoriert,hat
sparen,spare,sparst,spart,sparte,gespart,sparte,spare,spart,hat
fliegen,fliege,fliegst,fliegt,flog,geflogen,flöge,flieg,fliegt,ist
delektieren,delektiere,delektierst,delektiert,delektierte,delektiert,delektierte,delektier,delektiert,hat
schweigen,schweige,schweigst,schweigt,schwieg,geschwiegen,schwiege,schweige,schweigt,hat
verstehen,verstehe,verstehst,versteht,verstand,verstanden,verstände,verstehe,versteht,hat
hören,höre,hörst,hört,hörte,gehört,hörte,hör,hört,hat
lesen,lese,liest,liest,las,gelesen,läse,lies,lest,hat
akkumulieren,akkumuliere,akkumulierst,akkumuliert,akkumulierte,akkumuliert,akkumulierte,akkumulier,akkumuliert,hat
marodieren,marodiere,marodierst,marodiert,marodierte,marodiert,marodierte,marodiere,marodiert,hat
schleifen,schleife,schleifst,schleift,schleifte,geschleift,schleifte,schleife,schleift,hat
haben,habe,hast,hat,hatte,gehabt,hätte,habe,habt,hat
können,kann,kannst,kann,konnte,gekonnt,könnte,—,—,hat
rasen,rase,rast,rast,raste,gerast,raste,ras,rast,ist
fernsehen,sehe fern,siehst fern,sieht fern,sah fern,ferngesehen,sähe fern,sieh fern,seht fern,hat
produzieren,produziere,produzierst,produziert,produzierte,produziert,produzierte,produzier,produziert,hat
arbeiten,arbeite,arbeitest,arbeitet,arbeitete,gearbeitet,arbeitete,arbeite,arbeitet,hat
denken,denke,denkst,denkt,dachte,gedacht,dächte,denk,denkt,hat
kriegen,kriege,kriegst,kriegt,kriegte,gekriegt,kriegte,kriege,kriegt,hat
radebrechen,radebreche,radebrechst,radebrecht,radebrechte,geradebrecht,radebrechte,radebreche,radebrecht,hat
billigen,billige,billigst,billigt,billigte,gebilligt,billigte,billige,billigt,hat
sitzen,sitze,sitzt,sitzt,saß,gesessen,säße,sitz,sitzt,hat
laufen,laufe,läufst,läuft,lief,gelaufen,liefe,lauf,lauft,ist
schreiben,schreibe,schreibst,schreibt,schrieb,geschrieben,schriebe,schreibe,schreibt,hat
verzweifeln,verzweifle,verzweifelst,verzweifelt,verzweifelte,verzweifelt,verzweifelte,verzweifle,verzweifelt,ist
schlagen,schlage,schlägst,schlägt,schlug,geschlagen,schlüge,schlag,schlagt,hat
knuddeln,knuddele,knuddelst,knuddelt,knuddelte,geknuddelt,knuddelte,knuddele,knuddelt,hat
gucken,gucke,guckst,guckt,guckte,geguckt,guckte,guck,guckt,hat
verlieren,verliere,verlierst,verliert,verlor,verloren,verlöre,verliere,verliert,hat
blasen,blase,bläst,bläst,blies,geblasen,bliese,blas,blast,hat
spulgen,spulch mi,spulchst di,spulcht si,,gspulcht,dáád mi spulche,spulch di,spulcht aü,hat
küssen,küsse,küsst,küsst,küsste,geküsst,küsste,küss,küsst,hat
ausrichten,richte aus,richtest aus,richtet aus,richtete aus,ausgerichtet,richtete aus,richte aus,richtet aus,hat
interagieren,interagiere,interagierst,interagiert,interagierte,interagiert,interagierte,interagiere,interagiert,hat
saturieren,saturiere,saturierst,saturiert,saturierte,saturiert,saturierte,saturiere,saturiert,hat
lernen,lerne,lernst,lernt,lernte,gelernt,lernte,lerne,lernt,hat
retten,rette,rettest,rettet,rettete,gerettet,rettete,rette,rettet,hat
autorisieren,autorisiere,autorisierst,autorisiert,autorisierte,autorisiert,autorisierte,autorisier,autorisiert,hat
paraphrasieren,paraphrasiere,paraphrasierst,paraphrasiert,paraphrasierte,paraphrasiert,paraphrasierte,paraphrasier,paraphrasiert,hat
lehren,lehre,lehrst,lehrt,lehrte,gelehrt,lehrte,lehre,lehrt,hat
poppen,poppe,poppst,poppt,poppte,gepoppt,poppte,poppe,poppt,hat
vögeln,vögele,vögelst,vögelt,vögelte,gevögelt,vögelte,vögele,vögelt,hat
stehen,stehe,stehst,steht,stand,gestanden,stünde,stehe,steht,hat
paaren,paare,paarst,paart,paarte,gepaart,paarte,paare,paart,hat
flügeln,flügle,flügelst,flügelt,flügelte,geflügelt,flügelte,flügele,flügelt,hat
paddeln,paddle,paddelst,paddelt,paddelte,gepaddelt,paddelte,paddle,paddelt,ist
paffen,paffe,paffst,pafft,paffte,gepafft,paffte,paff,pafft,hat
ansagen,sage an,sagst an,sagt an,sagte an,angesagt,sagte an,sag an,sagt an,hat
kuscheln,kuschle,kuschelst,kuschelt,kuschelte,gekuschelt,kuschelte,kuschle,kuschelt,hat
aasen,aase,aast,aast,aaste,geaast,aaste,aase,aast,hat
ausreizen,reize aus,reizt aus,reizt aus,reizte aus,ausgereizt,reizte aus,reiz aus,reizt aus,hat
töten,töte,tötest,tötet,tötete,getötet,tötete,töte,tötet,hat
sterben,sterbe,stirbst,stirbt,starb,gestorben,stürbe,stirb,sterbt,ist
paktieren,paktiere,paktierst,paktiert,paktierte,paktiert,paktierte,paktiere,paktiert,hat
mauern,maure,mauerst,mauert,mauerte,gemauert,mauerte,mauer,mauert,hat
weinen,weine,weinst,weint,weinte,geweint,weinte,weine,weint,hat
pudern,pudere,puderst,pudert,puderte,gepudert,puderte,pudere,pudert,hat
pimpern,pimpere,pimperst,pimpert,pimperte,gepimpert,pimperte,pimpere,pimpert,hat
dehnen,dehne,dehnst,dehnt,dehnte,gedehnt,dehnte,dehn,dehnt,hat
sammeln,sammle,sammelst,sammelt,sammelte,gesammelt,sammelte,sammle,sammelt,hat
krökeln,krökele,krökelst,krökelt,krökelte,gekrökelt,krökelte,krökele,krökelt,hat
schnackseln,schnacksle,schnackselst,schnackselt,schnackselte,geschnackselt,schnackselte,schnacksle,schnackselt,hat
koitieren,koitiere,koitierst,koitiert,koitierte,koitiert,koitierte,koitiere,koitiert,hat
schummeln,schummle,schummelst,schummelt,schummelte,geschummelt,schummelte,schummle,schummelt,hat
amalgamieren,amalgamiere,amalgamierst,amalgamiert,amalgamierte,amalgamiert,amalgamierte,amalgamiere,amalgamiert,hat
klauen,klaue,klaust,klaut,klaute,geklaut,klaute,klaue,klaut,hat
fressen,fresse,frisst,frisst,fraß,gefressen,fräße,friss,fresst,hat
schmieren,schmiere,schmierst,schmiert,schmierte,geschmiert,schmierte,schmiere,schmiert,hat
simsen,simse,simst,simst,simste,gesimst,simste,sims,simst,hat
vermeinen,vermeine,vermeinst,vermeint,vermeinte,vermeint,vermeinte,vermeine,vermeint,hat
finishen,finishe,finishst,finisht,finishte,gefinisht,finishte,finishe,finisht,hat
sieben,siebe,siebst,siebt,siebte,gesiebt,siebte,sieb,siebt,hat
aufhören,höre auf,hörst auf,hört auf,hörte auf,aufgehört,hörte auf,hör auf,hört auf,hat
schenken,schenke,schenkst,schenkt,schenkte,geschenkt,schenkte,schenk,schenkt,hat
reden,rede,redest,redet,redete,geredet,redete,red,redet,hat
packen,packe,packst,packt,packte,gepackt,packte,pack,packt,hat
reizen,reize,reizt,reizt,reizte,gereizt,reizte,reize,reizt,hat
palavern,palavre,palaverst,palavert,palaverte,palavert,palaverte,palavere,palavert,hat
kirren,kirre,kirrst,kirrt,kirrte,gekirrt,kirrte,kirr,kirrt,hat
suchen,suche,suchst,sucht,suchte,gesucht,suchte,suche,sucht,hat
hindern,hindere,hinderst,hindert,hinderte,gehindert,hinderte,hindere,hindert,hat
wollen,will,willst,will,wollte,gewollt,wollte,—,—,hat
anstellen,stelle an,stellst an,stellt an,stellte an,angestellt,stellte an,stell an,stellt an,hat
schaffen,schaffe,schaffst,schafft,schuf,geschaffen,schüfe,schaffe,schafft,hat
lassen,lasse,lässt,lässt,ließ,gelassen,ließe,lass,lasst,hat
aufstehen,stehe auf,stehst auf,steht auf,stand auf,aufgestanden,stände auf,steh auf,steht auf,ist
unterhalten,unterhalte,unterhältst,unterhält,unterhielt,unterhalten,unterhielte,unterhalte,unterhaltet,hat
anbieten,biete an,bietest an,bietet an,bot an,angeboten,böte an,biet an,bietet an,hat
schnüffeln,schnüffle,schnüffelst,schnüffelt,schnüffelte,geschnüffelt,schnüffelte,schnüffel,schnüffelt,hat
abacheln,achele ab,achelst ab,achelt ab,achelte ab,abgeachelt,achelte ab,achele ab,achelt ab,hat
panieren,paniere,panierst,paniert,panierte,paniert,panierte,paniere,paniert,hat
entbehren,entbehre,entbehrst,entbehrt,entbehrte,entbehrt,entbehrte,entbehre,entbehrt,hat
schlafen,schlafe,schläfst,schläft,schlief,geschlafen,schliefe,schlaf,schlaft,hat
panschen,pansche,panschst,panscht,panschte,gepanscht,panschte,pansch,panscht,hat
anschneien,schneie an,schneist an,schneit an,schneite an,angeschneit,schneite an,schnei an,schneit an,hat
parken,parke,parkst,parkt,parkte,geparkt,parkte,parke,parkt,hat
quacksalbern,quacksalber,quacksalberst,quacksalbert,quacksalberte,gequacksalbert,quacksalberte,quacksalber,quacksalbert,hat
quaken,quake,quakst,quakt,quakte,gequakt,quakte,quake,quakt,hat
kremieren,kremiere,kremierst,kremiert,kremierte,kremiert,kremierte,kremiere,kremiert,hat
bekommen,bekomme,bekommst,bekommt,bekam,bekommen,bekäme,bekomm,bekommt,hat
zwirnen,zwirne,zwirnst,zwirnt,zwirnte,gezwirnt,zwirnte,zwirne,zwirnt,hat
checken,checke,checkst,checkt,checkte,gecheckt,checkte,check,checkt,hat
kujonieren,kujoniere,kujonierst,kujoniert,kujonierte,kujoniert,kujonierte,kujonier,kujoniert,hat
träumen,träume,träumst,träumt,träumte,geträumt,träumte,träume,träumt,hat
regredieren,regrediere,regredierst,regrediert,regredierte,regrediert,regredierte,regrediere,regrediert,hat
despektieren,despektiere,despektierst,despektiert,despektierte,despektiert,despektierte,despektiere,despektiert,hat
flöten,flöte,flötest,flötet,flötete,geflötet,flötete,flöte,flötet,hat
avisieren,avisiere,avisierst,avisiert,avisierte,avisiert,avisierte,avisiere,avisiert,hat
profilieren,profiliere,profilierst,profiliert,profilierte,profiliert,profilierte,profilier,profiliert,hat
geben,gebe,gibst,gibt,gab,gegeben,gäbe,gib,gebt,hat
mausen,mause,maust,maust,mauste,gemaust,mauste,mause,maust,hat
bürsten,bürste,bürstest,bürstet,bürstete,gebürstet,bürstete,bürste,bürstet,hat
jähren,jähre,jährst,jährt,jährte,gejährt,jährte,jähr,jährt,hat
verkuppeln,verkupple,verkuppelst,verkuppelt,verkuppelte,verkuppelt,verkuppelte,verkupple,verkuppelt,hat
ziehen,ziehe,ziehst,zieht,zog,gezogen,zöge,ziehe,zieht,hat
lachen,lache,lachst,lacht,lachte,gelacht,lachte,lache,lacht,hat
bekriegen,bekriege,bekriegst,bekriegt,bekriegte,bekriegt,bekriegte,bekriege,bekriegt,hat
erregen,errege,erregst,erregt,erregte,erregt,erregte,errege,erregt,hat
antreten,trete an,trittst an,tritt an,trat an,angetreten,träte an,tritt an,tretet an,hat
promovieren,promoviere,promovierst,promoviert,promovierte,promoviert,promovierte,promoviere,promoviert,hat
zunehmen,nehme zu,nimmst zu,nimmt zu,nahm zu,zugenommen,nähme zu,nimm zu,nehmt zu,hat
abnehmen,nehme ab,nimmst ab,nimmt ab,nahm ab,abgenommen,nähme ab,nimm ab,nehmt ab,hat
kriechen,krieche,kriechst,kriecht,kroch,gekrochen,kröche,kriech,kriecht,ist
zeichnen,zeichne,zeichnest,zeichnet,zeichnete,gezeichnet,zeichnete,zeichne,zeichnet,hat
handeln,handle,handelst,handelt,handelte,gehandelt,handelte,handle,handelt,hat
kosten,koste,kostest,kostet,kostete,gekostet,kostete,koste,kostet,hat
ameliorieren,amelioriere,ameliorierst,amelioriert,ameliorierte,amelioriert,ameliorierte,ameliorier,amelioriert,hat
verabschieden,verabschiede,verabschiedest,verabschiedet,verabschiedete,verabschiedet,verabschiedete,verabschied,verabschiedet,hat
tradieren,tradiere,tradierst,tradiert,tradierte,tradiert,tradierte,tradiere,tradiert,hat
wirken,wirke,wirkst,wirkt,wirkte,gewirkt,wirkte,wirk,wirkt,hat
beherbergen,beherberge,beherbergst,beherbergt,beherbergte,beherbergt,beherbergte,beherberg,beherbergt,hat
bumsen,bumse,bumst,bumst,bumste,gebumst,bumste,bums,bumst,hat
desavouieren,desavouiere,desavouierst,desavouiert,desavouierte,desavouiert,desavouierte,desavouiere,desavouiert,hat
kolportieren,kolportiere,kolportierst,kolportiert,kolportierte,kolportiert,kolportierte,kolportiere,kolportiert,hat
fundieren,fundiere,fundierst,fundiert,fundierte,fundiert,fundierte,fundiere,fundiert,hat
heucheln,heuchele,heuchelst,heuchelt,heuchelte,geheuchelt,heuchelte,heuchele,heuchelt,hat
saufen,saufe,säufst,säuft,soff,gesoffen,söffe,sauf,sauft,hat
backen,backe,bäckst,bäckt,buk,gebacken,büke,backe,backt,hat
scheißen,scheiße,scheißt,scheißt,schiss,geschissen,schisse,scheiß,scheißt,hat
recherchieren,recherchiere,recherchierst,recherchiert,recherchierte,recherchiert,recherchierte,recherchiere,recherchiert,hat
konfundieren,konfundiere,konfundierst,konfundiert,konfundierte,konfundiert,konfundierte,konfundier,konfundiert,hat
abbacken,backe ab,backst ab,backt ab,buk ab,abgebacken,büke ab,back ab,backt ab,hat
befangen,befange,befängst,befängt,befinge,befangen,befinge,befang,befangt,hat
antichambrieren,antichambriere,antichambrierst,antichambriert,antichambrierte,antichambriert,antichambrierte,antichambriere,antichambriert,hat
schöpfen,schöpfe,schöpfst,schöpft,schöpfte,geschöpft,schöpfte,schöpfe,schöpft,hat
überlegen,überlege,überlegst,überlegt,überlegte,überlegt,überlegte,überlege,überlegt,hat
spielen,spiele,spielst,spielt,spielte,gespielt,spielte,spiel,spielt,hat
prolongieren,prolongiere,prolongierst,prolongiert,prolongierte,prolongiert,prolongierte,prolongiere,prolongiert,hat
evaluieren,evaluiere,evaluierst,evaluiert,evaluierte,evaluiert,evaluierte,evaluiere,evaluiert,hat
exponieren,exponiere,exponierst,exponiert,exponierte,exponiert,exponierte,exponiere,exponiert,hat
ülmen,ülme,ülmst,ülmt,ülmte,geülmt,ülmte,ülme,ülmt,hat
stilisieren,stilisiere,stilisierst,stilisiert,stilisierte,stilisiert,stilisierte,stilisier,stilisiert,hat
funzen,funze,funzt,funzt,funzte,gefunzt,funzte,funze,funzt,hat
konstituieren,konstituiere,konstituierst,konstituiert,konstituierte,konstituiert,konstituierte,konstituiere,konstituiert,hat
riskieren,riskiere,riskierst,riskiert,riskierte,riskiert,riskierte,riskiere,riskiert,hat
gewinnen,gewinne,gewinnst,gewinnt,gewann,gewonnen,gewönne,gewinn,gewinnt,hat
fallen,falle,fällst,fällt,fiel,gefallen,fiele,falle,fallt,ist
reiten,reite,reitest,reitet,ritt,geritten,ritte,reit,reitet,ist
füttern,füttere,fütterst,füttert,fütterte,gefüttert,fütterte,füttere,füttert,hat
besuchen,besuche,besuchst,besucht,besuchte,besucht,besuchte,besuch,besucht,hat
frieren,friere,frierst,friert,fror,gefroren,fröre,frier,friert,hat
leben,lebe,lebst,lebt,lebte,gelebt,lebte,lebe,lebt,hat
fungieren,fungiere,fungierst,fungiert,fungierte,fungiert,fungierte,fungier,fungiert,hat
indoktrinieren,indoktriniere,indoktrinierst,indoktriniert,indoktrinierte,indoktriniert,indoktrinierte,indoktriniere,indoktriniert,hat
ausmerzen,merze aus,merzt aus,merzt aus,merzte aus,ausgemerzt,merzte aus,merz aus,merzt aus,hat
reglementieren,reglementiere,reglementierst,reglementiert,reglementierte,reglementiert,reglementierte,reglementiere,reglementiert,hat
schälen,schäle,schälst,schält,schälte,geschält,schälte,schäl,schält,hat
beseitigen,beseitige,beseitigst,beseitigt,beseitigte,beseitigt,beseitigte,beseitige,beseitigt,hat
auseinandersetzen,setze auseinander,setzt auseinander,setzt auseinander,setzte auseinander,auseinandergesetzt,setzte auseinander,setz auseinander,setzt auseinander,hat
saugen,sauge,saugst,saugt,saugte,gesaugt,saugte,saug,saugt,hat
implizieren,impliziere,implizierst,impliziert,implizierte,impliziert,implizierte,impliziere,impliziert,hat
kaskadieren,kaskadiere,kaskadierst,kaskadiert,kaskadierte,kaskadiert,kaskadierte,kaskadier,kaskadiert,hat
raiden,raide,raidest,raidet,raidete,geraidet,raidete,raide,raidet,hat
aliquotieren,aliquotiere,aliquotierst,aliquotiert,aliquotierte,aliquotiert,aliquotierte,aliquotiere,aliquotiert,hat
foppen,foppe,foppst,foppt,foppte,gefoppt,foppte,fopp,foppt,hat
ändern,ändere,änderst,ändert,änderte,geändert,änderte,ändere,ändert,hat
transformieren,transformiere,transformierst,transformiert,transformierte,transformiert,transformierte,transformiere,transformiert,hat
kompromittieren,kompromittiere,kompromittierst,kompromittiert,kompromittierte,kompromittiert,kompromittierte,kompromittier,kompromittiert,hat
zahlen,zahle,zahlst,zahlt,zahlte,gezahlt,zahlte,zahle,zahlt,hat
dingen,dinge,dingst,dingt,dang,gedungen,dänge,dinge,dingt,hat
spinnen,spinne,spinnst,spinnt,spann,gesponnen,spönne,spinn,spinnt,hat
spleißen,spleiße,spleißt,spleißt,spliss,gesplissen,splisse,spleiß,spleißt,hat
verklären,verkläre,verklärst,verklärt,verklärte,verklärt,verklärte,verkläre,verklärt,hat
stippen,stippe,stippst,stippt,stippte,gestippt,stippte,stipp,stippt,hat
medisieren,medisiere,medisierst,medisiert,medisierte,medisiert,medisierte,medisier,medisiert,hat
paraphieren,paraphiere,paraphierst,paraphiert,paraphierte,paraphiert,paraphierte,paraphiere,paraphiert,hat
proggen,progge,proggst,proggt,proggte,geproggt,proggte,progge,proggt,hat
beobachten,beobachte,beobachtest,beobachtet,beobachtete,beobachtet,beobachtete,beobachte,beobachtet,hat
daddeln,daddle,daddelst,daddelt,daddelte,gedaddelt,daddelte,daddle,daddelt,hat
einen,eine,einst,eint,einte,geeint,einte,eine,eint,hat
sistieren,sistiere,sistierst,sistiert,sistierte,sistiert,sistierte,sistiere,sistiert,hat
monetarisieren,monetarisiere,monetarisierst,monetarisiert,monetarisierte,monetarisiert,monetarisierte,monetarisier,monetarisiert,hat
beschälen,—,—,beschält,beschälte,beschält,beschälte,—,—,hat
reüssieren,reüssiere,reüssierst,reüssiert,reüssierte,reüssiert,reüssierte,reüssiere,reüssiert,hat
absorbieren,absorbiere,absorbierst,absorbiert,absorbierte,absorbiert,absorbierte,absorbiere,absorbiert,hat
chillen,chille,chillst,chillt,chillte,gechillt,chillte,chill,chillt,hat
lancieren,lanciere,lancierst,lanciert,lancierte,lanciert,lancierte,lanciere,lanciert,hat
antizipieren,antizipiere,antizipierst,antizipiert,antizipierte,antizipiert,antizipierte,antizipier,antizipiert,hat
hasardieren,hasardiere,hasardierst,hasardiert,hasardierte,hasardiert,hasardierte,hasardiere,hasardiert,hat
adsorbieren,adsorbiere,adsorbierst,adsorbiert,adsorbierte,adsorbiert,adsorbierte,adsorbiere,adsorbiert,hat
intervenieren,interveniere,intervenierst,interveniert,intervenierte,interveniert,intervenierte,interveniere,interveniert,hat
pushen,pushe,pushst,pusht,pushte,gepusht,pushte,push,pusht,hat
annektieren,annektiere,annektierst,annektiert,annektierte,annektiert,annektierte,annektier,annektiert,hat
streichen,streiche,streichst,streicht,strich,gestrichen,striche,streiche,streicht,hat
reisen,reise,reist,reist,reiste,gereist,reiste,reise,reist,ist
krakeelen,krakeele,krakeelst,krakeelt,krakeelte,krakeelt,krakeelte,krakeel,krakeelt,hat
postulieren,postuliere,postulierst,postuliert,postulierte,postuliert,postulierte,postuliere,postuliert,hat
innervieren,innerviere,innervierst,innerviert,innervierte,innerviert,innervierte,innervier,innerviert,hat
schwätzen,schwätze,schwätzt,schwätzt,schwätzte,geschwätzt,schwätzte,schwätze,schwätzt,hat
massolieren,massoliere,massolierst,massoliert,massolierte,massoliert,massolierte,massoliere,massoliert,hat
restringieren,restringiere,restringierst,restringiert,restringierte,restringiert,restringierte,restringiere,restringiert,hat
onanieren,onaniere,onanierst,onaniert,onanierte,onaniert,onanierte,onaniere,onaniert,hat
denunzieren,denunziere,denunzierst,denunziert,denunzierte,denunziert,denunzierte,denunziere,denunziert,hat
laktieren,laktiere,laktierst,laktiert,laktierte,laktiert,laktierte,laktiere,laktiert,hat
verballhornen,verballhorne,verballhornst,verballhornt,verballhornte,verballhornt,verballhornte,verballhorne,verballhornt,hat
defilieren,defiliere,defilierst,defiliert,defilierte,defiliert,defilierte,defilier,defiliert,hat
knetschen,knetsche,knetschst,knetscht,knetschte,geknetscht,knetschte,knetsch,knetscht,ist
mailen,maile,mailst,mailt,mailte,gemailt,mailte,mail,mailt,hat
perennieren,perenniere,perennierst,perenniert,perennierte,perenniert,perennierte,perennier,perenniert,ist
substantivieren,substantiviere,substantivierst,substantiviert,substantivierte,substantiviert,substantivierte,substantiviere,substantiviert,hat
abändern,ändre ab,änderst ab,ändert ab,änderte ab,abgeändert,änderte ab,ändre ab,ändert ab,hat
abbaden,bade ab,badest ab,badet ab,badete ab,abgebadet,badete ab,bade ab,badet ab,hat
abbalgen,balge ab,balgst ab,balgt ab,balgte ab,abgebalgt,balgte ab,balg ab,balgt ab,hat
abbaken,bake ab,bakst ab,bakt ab,bakte ab,abgebakt,bakte ab,bake ab,bakt ab,hat
abbalzen,balze ab,balzt ab,balzt ab,balzte ab,abgebalzt,balzte ab,balz ab,balzt ab,hat
abbangen,bange ab,bangst ab,bangt ab,bangte ab,abgebangt,bangte ab,bang ab,bangt ab,hat
abbasten,baste ab,bastest ab,bastet ab,bastete ab,abgebastet,bastete ab,baste ab,bastet ab,hat
abbeißen,beiße ab,beißt ab,beißt ab,biss ab,abgebissen,bisse ab,beiß ab,beißt ab,hat
requirieren,requiriere,requirierst,requiriert,requirierte,requiriert,requirierte,requiriere,requiriert,hat
abbegehren,begehre ab,begehrst ab,begehrt ab,begehrte ab,abbegehrt,begehrte ab,begehr ab,begehrt ab,hat
abbeeren,beere ab,beerst ab,beert ab,beerte ab,abgebeert,beerte ab,beer ab,beert ab,hat
abbefehlen,befehle ab,befiehlst ab,befiehlt ab,befahl ab,abbefohlen,beföhle ab,befiehl ab,befiehlt ab,hat
abbeizen,beize ab,beizt ab,beizt ab,beizte ab,abgebeizt,beizte ab,beiz ab,beizt ab,hat
abbekommen,bekomme ab,bekommst ab,bekommt ab,bekam ab,abbekommen,bekäme ab,bekomm ab,bekommt ab,hat
abberufen,berufe ab,berufst ab,beruft ab,berief ab,abberufen,beriefe ab,beruf ab,beruft ab,hat
ennuyieren,ennuyiere,ennuyierst,ennuyiert,ennuyierte,ennuyiert,ennuyierte,ennuyiere,ennuyiert,hat
sengen,senge,sengst,sengt,sengte,gesengt,sengte,senge,sengt,hat
ownen,owne,ownst,ownt,ownte,geownt,ownte,own,ownt,hat
tangieren,tangiere,tangierst,tangiert,tangierte,tangiert,tangierte,tangier,tangiert,hat
insistieren,insistiere,insistierst,insistiert,insistierte,insistiert,insistierte,insistiere,insistiert,hat
übersetzen,übersetze,übersetzt,übersetzt,übersetzte,übersetzt,übersetzte,übersetz,übersetzt,hat
finden,finde,findest,findet,fand,gefunden,fände,finde,findet,hat
substituieren,substituiere,substituierst,substituiert,substituierte,substituiert,substituierte,substituier,substituiert,hat
abschmirgeln,schmirgele ab,schmirgelst ab,schmirgelt ab,schmirgelte ab,abgeschmirgelt,schmirgelte ab,schmirgele ab,schmirgelt ab,hat
schmirgeln,schmirgle,schmirgelst,schmirgelt,schmirgelte,geschmirgelt,schmirgelte,schmirgel,schmirgelt,hat
konzedieren,konzediere,konzedierst,konzediert,konzedierte,konzediert,konzedierte,konzediere,konzediert,hat
